Nome da Escola,Endereço,Telefone,Status
Escola SESI Corumbá,"R. Nossa Sra. da Candelária, 1555 - Maria Leite, Corumbá - MS, 79310-050",(67) 3234-3613
Ee Dr Gabriel Vandoni De Barros,"R. Nossa Sra. da Candelária, S/N - Maria Leite, Corumbá - MS, 79310-050",(67) 3231-6711
Colégio Adventista de Corumbá,"R. Pôrto Carreiro, 1956 - Aeroporto, Corumbá - MS, 79332-090",(67) 3231-3553
Escola Santa Inês,"R. Maj. Gama, 950 - Aeroporto, Corumbá - MS, 79332-040",(67) 3231-3304
Ee Maria Helena Albaneze,"R. São Paulo, 90 - Popular Nova, Corumbá - MS, 79320-160",(67) 3233-7034
Ee Carlos De Castro Brasil,"Av. Rio Branco, 979 - Universitário, Corumbá - MS, 79304-010",(67) 3231-1472
Escola Estadual Dom Bosco,"Rua Dom Aquino Corrêa, 2462 - Dom Bosco, Corumbá - MS, 79333-070",(67) 3231-0501
Ee Dr Joao Leite De Barros,"R. Cabral, 761 - Centro, Corumbá - MS, 79301-080",(67) 3231-2401
Escola Estadual Júlia Gonçalves Passarinho,"R. Dom Aquino, 406 - Centro, Corumbá - MS, 79302-040",(67) 3231-7162
EE Maria Leite,"R. Pôrto Carreiro, 94 - Centro, Corumbá - MS, 79332-090",(67) 3231-6563
Escola Estadual Nathercia Pompeo dos Santos,"R. Ceará, 2867 - N Corumbá, Corumbá - MS, 79321-230",(67) 3233-3539
EE Otacílio Faustino da Silva,"R. Maj. Gama - Popular Velha, Corumbá - MS, 79320-070",(67) 3231-6730
Em Fernando De Barros E Cemei Maria Candelaria Pereira Leite E Extensao,"R. Fernando de Barros, S/N - Centro América, Corumbá - MS, 79310-130",(67) 3907-5355
Escola Municipal De Educacao Integral Luiz Feitosa Rodrigues,"Rua General Rondon, 266 - Centro, Corumbá - MS, 79303-000",(67) 3907-5357
Em Pedro Paulo De Medeiros,"Rua America S/N - Centro, Corumbá - MS, 79331-110",(67) 3232-6102
Em Izabel Correa De Oliveira E Extensao,"Alameda Augusto Amaral, 60 - Popular Nova, Corumbá - MS, 79320-172",(67) 3907-5358
Escola Municipal Jose De Souza Damy,"R. Quinze de Novembro, 2172 - Cristo Redentor, Corumbá - MS, 79311-005",(67) 3907-5364
EMEI Tilma Fernandes Veiga e CEMEI Parteira Valódia Serra,"Av. Brandão Júnior, 280 - Dom Bosco, Corumbá - MS, 79331-120",(67) 3907-5356
Escola Municipal Cyríaco Félix de Toledo,"R. Maj. Gama, 281 - Dom Bosco, Corumbá - MS, 79331-010",(67) 3907-5359
Escola Municipal De Educacao Integral Rachid Bardauil,"R. Alan Kardec, 1655 - Aeroporto, Corumbá - MS, 79320-200",(67) 3907-5382
ENAM-Escola Neuza Assad Malta,"R. Frei Mariano, 329 - Centro, Corumbá - MS, 79300-002",(67) 3231-8208
Colégio Salesiano de Santa Teresa,"R. Quinze de Novembro, 489 - Centro, Corumbá - MS, 79330-000",(67) 3234-2600
Instituto Educacional Macena de Britto,"R. Cabral, 1678 - Aeroporto, Corumbá - MS, 79332-030",(67) 3231-6767
Instituto Baruki de Educação e Cultura - Ibec,"R. Cabral - Centro, Corumbá - MS, 79301-080",(67) 3231-7845
Jardim Dos Pirilampos,"R. Firmo de Matos, 34 - Dom Bosco, Corumbá - MS, 79331-050",(67) 99916-3073
Cemei Estrelinha Verde,"R. Pôrto Carreiro, 1230 - Centro, Corumbá - MS, 79300-110",(67) 3232-3955
Em Ludovina Portocarrero,"Avenida Tenente Oliveira Mello, 58 - Centro, Corumbá - MS, 79368-000",(67) 3282-1119
Ee Leme Do Prado,"R. Alm. Barroso, 77 - Centro, Ladário - MS, 79370-000",(67) 3226-1376
Ee 2 De Setembro,"Av. 14 de Março, 598 - Centro, Ladário - MS, 79370-000",(67) 3226-1380
Em 17 De Marco,"R. Alm. Tamandaré, 481 - Centro, Ladário - MS, 79370-000",(67) 3318-2200
Em Farol Do Norte,"Av. 14 de Março - Centro, Ladário - MS, 79370-000",(67) 3318-2200
SIB Colégio São Miguel,"R. Cmte. Souza Lôbo, 403 - Centro, Ladário - MS, 79370-000",(67) 98466-9248
Em Indigena Ejiwajegi - Polo E Extensoes,"Aldeia Indigena Alves De Barro S/N Zona Rural, Porto Murtinho - MS, 79280-000",(67) 3287-4550
Ee Jose Bonifacio,"R. Treze de Maio, 1010 - Centro, Porto Murtinho - MS, 79280-000",(67) 3287-1149
Escola Estadual Cláudio de Oliveira,"R. Amadeu Santos e Silva, 89 - Centro, Porto Murtinho - MS, 79280-000",(67) 3287-1753
Em Thomaz Larangeira,"R. Cel. Alfredo Pinto, S/N - Centro, Porto Murtinho - MS, 79280-000",(67) 3287-1789
Emr De Educacao Infantil E Ensino Fundamental Bonifacio Gomes Polo E Extensoes,"Estrada Bocaiuval S/N Rural, Porto Murtinho - MS, 79280-000",(67) 99913-4564
ENCIM MUNICIPAL CIVICO MILITAR TEODORO RONDON,"R. Dom Aquino, 398 - Centro, Anastácio - MS, 79210-000",(67) 3245-2953
Ee Carlos Drummond De Andrade,"R. Acogo, S/N - Vila Maior, Anastácio - MS, 79210-000",(67) 3245-1704
Ee Dep Carlos Souza Medeiros,"R. João Teodoreto da Costa, 1397 - COHAB, Anastácio - MS, 79210-000",(67) 3245-0382
Ee Roberto Scaff,"R. Geovane Toscano de Brito, 885 - Centro, Anastácio - MS, 79210-000",(67) 3245-2462
ESCOLA ESTADUAL MARIA CORRÊA DIAS,"St. II, Anastácio - MS, 79210-000",(67) 3245-0469
Ee Romalino Alves De Albres,"R. João Leite Ribeiro, 1545 - Setor, Anastácio - MS, 79210-000",(67) 3245-1126
