Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DO SESI CORUMBA;50000039;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"NOSSA SENHORA DA CANDELARIA, 1555 MARIA LEITE. 79310-050 Corumbá - MS.";(67) 32343601;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-19.0119207;-57.6267026
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DR GABRIEL VANDONI DE BARROS;50000047;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NOSSA SENHORA DA CANDELARIA, SN MARIA LEITE. 79310-050 Corumbá - MS.";(67) 32316711;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atividade Complementar;-19.00848251;-57.62743648
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ADVENTISTA DE CORUMBA;50000101;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PORTO CARREIRO, 1956 AEROPORTO. 79332-090 Corumbá - MS.";(67) 32313553;Privada;Filantrópica;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-19.0058016;-57.6513701
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA EVANGELICA ASSEMBLEIA DE DEUS;50000110;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CABRAL - ENDERECO PROVISORIO, 1443 RUA JOAQUIM MURTINHO. AEROPORTO. 79332-030 Corumbá - MS.";(67) 32312674;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.0095605;-57.6538906
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA SANTA INES;50000128;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MAJOR GAMA, 950 AEROPORTO. 79332-040 Corumbá - MS.";(67) 32313304;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.0071153;-57.6555603
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARIA HELENA ALBANEZE;50000152;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO PAULO, 90 POPULAR NOVA. 79320-160 Corumbá - MS.";(67) 32337034;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atividade Complementar;-19.026735;-57.65841833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ROTARY CLUB;50000160;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"ALAMEDA ANITA GARIBALDI, 198 CRISTO REDENTOR. 79311-580 Corumbá - MS.";(67) 32316208;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-19.0271057;-57.6425725
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CARLOS DE CASTRO BRASIL;50000179;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RIO BRANCO, 979 UNIVERSITARIO. 79304-020 Corumbá - MS.";(67) 32311472;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-19.0011461;-57.628376
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DOM BOSCO;50000187;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOM AQUINO, 2462 DOM BOSCO. 79333-070 Corumbá - MS.";(67) 32310501;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-19.0052944;-57.6655855
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DR JOAO LEITE DE BARROS;50000195;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CABRAL, 761 CENTRO. 79301-080 Corumbá - MS.";(67) 32312401;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-19.0078307;-57.6481525
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JULIA GONCALVES PASSARINHO;50000209;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOM AQUINO, 406 CENTRO. 79302-040 Corumbá - MS.";(67) 32317162;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-18.9998359;-57.6469752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARIA LEITE;50000217;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PORTO CARREIRO, 94 CENTRO. 79303-270 Corumbá - MS.";(67) 32316563;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-19.00726;-57.640985
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE NATHERCIA POMPEO DOS SANTOS;50000225;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CEARA, 2713 VILA GUARANI. 79321-230 Corumbá - MS.";(67) 32333539;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-19.04132455;-57.65321608
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE OCTACILIO FAUSTINO DA SILVA;50000233;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MAJOR GAMA, S/N RUA DUQUE DE CAXIAS. DOM BOSCO. 79331-010 Corumbá - MS.";(67) 32316730;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";"Atendimento Educacional Especializado, Atividade Complementar";-19.017023;-57.6518881
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM BARAO DO RIO BRANCO;50000241;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GERALDINO MARTINS DE BARROS, 1.122 CENTRO. 79310-602 Corumbá - MS.";(67) 39075363;Municipal;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-19.008281;-57.6401187
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CLIO PROENCA;50000250;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO B. A. DO COUTO, S/N CONJUNTO GUANA I. 79321-014 Corumbá - MS.";(67) 39075366;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-19.0506541;-57.6483037
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DELCIDIO DO AMARAL;50000268;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RIO BRANCO, 782 UNIVERSITARIO. 79304-020 Corumbá - MS.";(67) 39075361;Municipal;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.0004698;-57.6334073
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM FERNANDO DE BARROS E CEMEI MARIA CANDELARIA PEREIRA LEITE E EXTENSAO;50000276;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FERNANDO DE BARROS, S/N PREDIO. CENTRO AMERICA. 79310-130 Corumbá - MS.";(67) 39075355;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.0135314;-57.6374407
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL LUIZ FEITOSA RODRIGUES;50000284;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GENERAL RONDON, 266 CENTRO. 79303-000 Corumbá - MS.";(67) 39075357;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-18.9957748;-57.647135
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PEDRO PAULO DE MEDEIROS;50000292;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA AMERICA, S/N DOM BOSCO. 79331-110 Corumbá - MS.";(67) 32326102;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-19.0074881;-57.6591912
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM IZABEL CORREA DE OLIVEIRA E EXTENSAO;50000306;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"ALAMEDA AUGUSTO DO AMARAL, 60 POPULAR NOVA. 79320-172 Corumbá - MS.";(67) 39075358;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-19.02548048;-57.65689557
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE DE SOUZA DAMY;50000314;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA QUINZE DE NOVEMBRO, 2172 CRISTO REDENTOR. 79311-005 Corumbá - MS.";(67) 39075364;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-19.02452833;-57.64612333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL TILMA FERNANDES VEIGA E CEMEI PARTEIRA VALODIA SERRA;50000322;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA BRANDAO JUNIOR, 280 DOM BOSCO. 79331-120 Corumbá - MS.";(67) 39075356;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-18.9994408;-57.6632492
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CYRIACO FELIX DE TOLEDO;50000330;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MAJOR GAMA, 206 DOM BOSCO. 79331-010 Corumbá - MS.";(67) 39075359;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-19.0008125;-57.6581231
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DE EDUCACAO INTEGRAL RACHID BARDAUIL;50000349;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALAN KARDEC, 1655 MONTE CASTELO. AEROPORTO. 79320-200 Corumbá - MS.";(67) 39075382;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-19.01974458;-57.666072
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ENAM - ESCOLA NEUSA ASSAD MALTA;50000357;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA FREI MARIANO, 329 CENTRO. 79303-010 Corumbá - MS.";(67) 998129271;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-19.0005951;-57.65198554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SALESIANO DE SANTA TERESA;50000390;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA QUINZE DE NOVEMBRO, 489 CENTRO. 79330-000 Corumbá - MS.";(67) 32342600;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-19.00248831;-57.65322663
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO EDUC JOSE CARLOS MACENA DE BRITTO;50000411;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CABRAL, 1678 AEROPORTO. 79332-030 Corumbá - MS.";(67) 32316767;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-19.0095145;-57.6567927
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;ESC ESPECIALIZADA REINO DO AMOR-APAE;50000438;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SANTA TEREZINHA, 705 MARIA LEITE. 79310-681 Corumbá - MS.";(67) 32313602;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-19.0130429;-57.6228096
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IBEC - INSTITUTO BARUKI DE ED E CULTURA;50000551;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CABRAL, 938 PREDIO. CENTRO. 79301-080 Corumbá - MS.";(67) 32316060;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-19.0071965;-57.6499438
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DOS PIRILAMPOS;50000578;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA FIRMO DE MATOS, DOM BOSCO. 79331-050 Corumbá - MS.";(67) 32316018;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-18.99913333;-57.66012667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEMEI ESTRELINHA VERDE;50000594;MS;Corumbá;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA PORTO CARREIRO, 1230 CENTRO. 79300-110 Corumbá - MS.";(67) 32323955;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-19.0108036;-57.6513748
ESCOLA PARALISADA;EM LUDOVINA PORTOCARRERO;50000624;MS;Corumbá;Urbana;Não Informado;Pública;"AVENIDA TENENTE OLIVEIRA MELLO, 058 DISTRITO DE FORTE COIMBRA. 79368-000 Corumbá - MS.";(67) 32821119;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE LEME DO PRADO;50000667;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALMIRANTE BARROSO, 77 CENTRO. 79370-000 Ladário - MS.";(67) 32261376;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-19.0061357;-57.6080988
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE 2 DE SETEMBRO;50000675;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA 14 DE MARCO, 598 CENTRO. 79370-000 Ladário - MS.";(67) 32261380;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-19.0031114;-57.6036884
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM 17 DE MARCO;50000683;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TAMANDARE, 481 CENTRO. 79370-000 Ladário - MS.";(67) 99605410;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.00270047;-57.60253913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM FAROL DO NORTE;50000691;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Pública;"AV. 14 DE MARCO,, 142 CENTRO. 79370-000 Ladário - MS.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-19.00376657;-57.60004487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF JOAO BAPTISTA;50000705;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JULIO MULLER, ALMIRANTE TAMANDARE. 79370-000 Ladário - MS.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-19.01724734;-57.60941391
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SOCIEDADE DE INSTRUCAO E BENEFICENCIA - COLEGIO SAO MIGUEL;50000748;MS;Ladário;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA COMANDANTE SOUZA LOBO, 403 CENTRO. 79370-000 Ladário - MS.";(67) 32261717;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-19.0057165;-57.6029999
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM INDIGENA EJIWAJEGI - POLO E EXTENSOES;50000764;MS;Porto Murtinho;Rural;Terra indígena;Pública;"ALDEIA INDIGENA ALVES DE BARROS, S/N ALDEIA INDIGENA. ZONA RURAL. 79280-000 Porto Murtinho - MS.";(67) 32872878;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-20.4326118;-56.9598249
